Speaker,word,norm_F1,Proactive,Reactive,Style,BirthYear,Sex,PartnerEthnicity,PhillyLiveTime,HighSchoolType,Occupation_Group,wordLength
S10,i,771,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,time,450,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,699,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,692,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,i,765,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,i,1011,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,high,856,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,stripes,500,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,7
S10,time,885,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,kindly,775,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
S10,like,622,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,i,1049,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,i,930,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,spite,645,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
S10,i,985,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,mice,657,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,i,955,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,my,841,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,2
S10,like,678,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,815,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,buys,652,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,699,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,by,1053,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,2
S10,mice,694,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,703,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,pipes,651,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
S10,like,722,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,768,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,knives,804,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
S10,i,672,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
